muin_egin	DIO/ERG/INE
webguneratu	DU/ERG/ABS
profesionalizatu	DA/ABS/#DA/ABS/#DA/ABS/ALA#DA/ABS/INE
dantza_egin	DU/ERG/#DU/ERG/INE#DU/ERG/ABS#DU/ERG/ALA#DU/ERG/INE-SOZ#DU/ERG/ZERO_gisa_ZERO#DA/ABS/INE#DU/ERG/INF#DU/ERG/GEN_aurre_INE#DU/ERG/GEN_inguru_INE-INE#DU/ERG/INS_gain_ABS#DU/ERG/SOZ-ZHG#DU/ERG/ABL#DU/ERG/ABS#DU/ERG/ABS-DESK#DU/ERG/ABS-SOZ#DU/ERG/ABU#DU/ERG/SOZ#DA/ABS/#DA/ABS/#DA/ABS/ZERO_gisa_ZERO#DA/ABS/ABL#DA/ABS/#DA/ABS/DESK#DA/ABS/SOZ#DA/ABS/ABU#DA/ABS/ALA#DA/ABS/INE-SOZ#DA/ABS/SOZ
xurgatu	DU/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABS#DU/ERG/ABS-GEN_barru_INE#DU/ERG/ABS-GEN_bide_INS#DU/ERG/ABS-ZERO_oste_INE
subjektibizatu	DU/ERG/ABS
arrastatu	DU/ERG/#DU/ERG/INE#DU/ERG/ABS#DU/ERG/KONP#ZAIO/ABS/#DU/ERG/GEN_arabera_ZERO#DU/ERG/MOT#DU/ERG/SOZ#ZAIO/ABS/DAT#ZAIO/ABS/#ZAIO/ABS/DAT-GEN_arabera_ZERO#ZAIO/ABS/DAT-INE#ZAIO/ABS/DAT-MOT#ZAIO/ABS/DAT-SOZ
desmuntatu	DU/ERG/ABS#DU/ERG/ABL-ABS#DU/ERG/ABS-INE
behar_adierazi	DU/ERG/INF#DU/ERG/#DU/ERG/ABS-INF#DU/ERG/GEN_arabera_ZERO-INF#DU/ERG/INE-INF#DIO/ERG/DAT-INF#DIO/ERG/#DIO/ERG/INF#DIO/ERG/INE#DA/ABS/INE-INF#DIO/ERG/DAT#DA/ABS/
behar_inguratu	DA/ABS/ALA-INE
asimilatu	DA/ABS/#DA/ABS/
formulatu	DA/ABS/#DA/ABS/ZERO_alde_ABL#DA/ABS/ABL#DA/ABS/INE#DA/ABS/PAR
